$label,$beginTime,$endTime,$type,label,tr_type,data_in,data_out,word_index,bit_count,is_first_of_frame,is_last_of_frame,status,status.flags, command, data_in,data_out,last_bit,address,data,mosi_crc_correct,mosi_crc,miso_crc_correct,miso_crc,channel_bits,pulse_count,wait_time,external_sync,broad_cast,dsi3_crc_correct,crm_packet,crm_packet.word_1,crm_packet.word_2,packet_index,tdma_packet,tdma_packet.earliest_start_time,tdma_packet.latest_start_time,tdma_packet.symbol_count,tdma_packet.id_symbol_count,tdma_packet.enable,tdma_packet.start_time,tdma_packet.tolerance,tdma_packet.tolerance_int,tdma_packet.tolerance_int_min,tdma_packet.tolerance_int_max,tdma_packet.fine_delay_time,tdma_packet.crc_error_injection,tdma_packet.symbol_coding_error_injection,tdma_packet.chip_length_error_injection,tdma_packet.packet,pdcm_period,packet_count,channel_0,
frame,2241013000,2256453000,Transaction,-,-,-,-,-,-,1'h1,1'h1,7928,""|-|-|-|-|NT1|NT0|-|-|-|-"",""spi command frame (1 commands)"",""ffff ffff ffff ffff "",""0c00 ffff ffff ffff "",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
_spi_reset_seq,2241013000,2256453000,Transaction,-,-,-,-,-,-,1'h1,1'h1,-,-,""Reset SPI"",""ffff ffff ffff ffff "",""0c00 ffff ffff ffff "",1'h1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2241013000,2241343000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,2241343000,2244543000,Transaction,"Transactions","SPI_DATA",16'hffff,16'hc00,0,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,2244543000,2244873000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2244873000,2245203000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,2245203000,2248403000,Transaction,"Transactions","SPI_DATA",16'hffff,16'hffff,1,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,2248403000,2248733000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-start,2248733000,2249063000,Transaction,"Transactions","SPI_START",16'hXXXX,16'hXXXX,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-data,2249063000,2252263000,Transaction,"Transactions","SPI_DATA",16'hffff,16'hffff,2,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
spi-end,2252263000,2252593000,Transaction,"Transactions","SPI_END",16'hXXXX,16'hXXXX,-1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
