x
x
x
temper,t__start__,t__sim_h__,t__sim_min__,t__sim_sec__,date
TOP_appl_start, 2022.37512050105, 0.0975000003963942,5.85000002378365, 351.000001427019, Tue May 16 13:04:33 CEST 2023
TOP_appl_dsi, 2022.42038101209, 9.74662962942239,584.797777765343, 35087.8666659206, Fri Jun  2 08:05:31 CEST 2023, hhau
TOP_appl_misc, 2022.42886088606, 0.132037036775728,7.92222220654367, 475.33333239262, Mon Jun  5 09:21:29 CEST 2023, hhau
TOP_appl_misc, 2022.42891222994, 0.11682407445187,7.00944446711219, 420.566668026731, Mon Jun  5 09:48:06 CEST 2023, hhau
TOP_appl_start, 2022.46819029707, 0.161027777256095,9.66166663536569, 579.699998121941, Mon Jun 19 13:09:51 CEST 2023, hhau
TOP_appl_start, 2022.46850363297, 0.157009257527534,9.42055545165204, 565.233327099122, Mon Jun 19 15:52:17 CEST 2023, hhau
TOP_appl_sup, 2022.46852228009, 1.65046296172659,99.0277777035953, 5941.66666221572, Mon Jun 19 16:01:57 CEST 2023, hhau
TOP_appl_spi, 2022.46870810828, 14.1945555554776,851.673333328654, 51100.3999997192, Mon Jun 19 17:38:17 CEST 2023, hhau
TOP_appl_timebase, 2022.47030028292, 1.47422222417663,88.4533334505977, 5307.20000703586, Tue Jun 20 07:23:40 CEST 2023, hhau
TOP_appl_dsi, 2022.47046707819, 18.3964907406698,1103.78944444019, 66227.3666664114, Tue Jun 20 08:50:08 CEST 2023, hhau
TOP_appl_start, 2022.53419967767, 0.278055555332685,16.6833333199611, 1000.99999919767, Thu Jul 13 17:20:05 CEST 2023, hhau
TOP_appl_sup, 2022.53423184862, 5.72638888770598,343.583333262359, 20614.9999957415, Thu Jul 13 17:37:19 CEST 2023, hhau
TOP_appl_spi, 2022.53487420973, 10.9722222223791,658.333333342744, 39500.0000005646, Thu Jul 13 23:21:25 CEST 2023, hhau
TOP_appl_start_ana, 2022.53417142697, 17.4466666651424,1046.79999990854, 62807.9999945126, Thu Jul 13 17:04:57 CEST 2023, hhau
TOP_appl_sup, 2022.53607757119, 0.824444444777328,49.4666666866397, 2968.00000119838, Fri Jul 14 10:06:02 CEST 2023, hhau
TOP_appl_start, 2022.53623637246, 0.271944444561086,16.3166666736652, 979.00000041991, Fri Jul 14 11:31:06 CEST 2023, hhau
TOP_appl_sup, 2022.53626785892, 68.4041666649427,4104.24999989656, 246254.999993794, Fri Jul 14 11:47:58 CEST 2023, hhau
TOP_appl_start_ana, 2022.536189205, 69.4869444445721,4169.21666667433, 250153.00000046, Fri Jul 14 11:05:50 CEST 2023, hhau
