count_UVM_ERROR,count_SIM_ERROR,unique_modules,total_messages,error_duration,info_ratio
9.0,0.0,28.0,58.0,576791.20943,0.7931034482758621
1.0,0.0,32.0,1301.0,0.0,0.9969254419677172
1.0,0.0,62.0,1104.0,0.0,0.9963768115942029
158.0,0.0,21.0,506.0,22747.974000000002,0.6818181818181818
71.0,0.0,24.0,1211.0,179435.970934,0.9397192402972749
4.0,0.0,37.0,645.0,2667.760000000002,0.9891472868217054
238.0,0.0,33.0,808.0,360099.730079,0.7017326732673267
2.0,1.0,15.0,40.0,1164.7619999999997,0.85
2.0,0.0,23.0,140.0,2895.7688430000017,0.9642857142857143
1390.0,0.0,23.0,1902.0,59062.07529,0.2676130389064143
1.0,0.0,16.0,52.0,0.0,0.9230769230769231
256.0,0.0,31.0,567.0,15907.679999999998,0.5432098765432098
4.0,0.0,34.0,917.0,4966.720000000001,0.9923664122137404
831.0,0.0,22.0,983.0,18439.768,0.1515768056968464
6.0,0.0,11.0,120.0,4781.822,0.925
