file,type,severity,time_us,module,message,cluster
debounce_times.log,Config,,0.0,CONFIG,UVM_VERBOSITY=UVM_MEDIUM,-1
debounce_times.log,Config,,0.0,CONFIG,uvm_set_type_override=top_default_seq,-1
debounce_times.log,UVM,UVM_INFO,0.0,UVM_VERDI_DPI,uvm_verdi DPI routines are compiled off. Recompile without +define+UVM_NO_VERDI_DPI,-1
debounce_times.log,UVM,UVM_INFO,0.0,debounce_times_seq,debounce_times_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,0.001,sim:task,debounce_times,-1
debounce_times.log,UVM,UVM_INFO,2120.001,sim:description,'''Testcase for measuring different debounce times''',-1
debounce_times.log,UVM,UVM_INFO,2120.001,resb_debounce_measure_seq,resb_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,2120.002,sim:description:1,"*measuring debounce time for parameter: t__RESB,deb__",-1
debounce_times.log,UVM,UVM_ERROR,4368.64418,_resb_debounce_measure_seq,"condition for parameter t__RESB,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,5868.64418,vccuv_debounce_measure_seq,vccuv_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,5868.64518,sim:description:1,"*measuring debounce time for parameter: t__VCC,UV,deb__",-1
debounce_times.log,UVM,UVM_ERROR,12857.08518,_vccuv_debounce_measure_seq,"condition for parameter t__VCC,UV,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,13857.08518,ref_fail_debounce_measure_seq,ref_fail_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,13857.08618,sim:description:1,"*measuring debounce time for parameter: t__VBGerr,deb__",-1
debounce_times.log,UVM,UVM_ERROR,49005.903696,_ref_fail_debounce_measure_seq,"condition for parameter t__VBGerr,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,50005.903696,ldo_uv_debounce_measure_seq,ldo_uv_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,50005.904696,sim:description:1,"*measuring debounce time for parameter: t__CLDO,UV__",-1
debounce_times.log,UVM,UVM_ERROR,57104.404696,_ldo_uv_debounce_measure_seq,"condition for parameter t__CLDO,UV__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,58104.404696,ot_debounce_measure_seq,ot_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,58104.405696,sim:description:1,"*measuring debounce time for parameter: t__OT,deb__",-1
debounce_times.log,UVM,UVM_ERROR,65203.105696,_ot_debounce_measure_seq,"condition for parameter t__OT,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,66733.40044,dsi_uv_debounce_measure_seq,dsi_uv_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,66733.40144,sim:description:1,"*measuring debounce time for parameter: t__DSI,OVUV,deb__",-1
debounce_times.log,UVM,UVM_ERROR,209812.928582,_dsi_uv_debounce_measure_seq,"condition for parameter t__DSI,OVUV,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,210822.608582,dsi_uv_debounce_measure_seq,dsi_uv_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,210822.609582,sim:description:1,"*measuring debounce time for parameter: t__DSI,OVUV,deb__",-1
debounce_times.log,UVM,UVM_ERROR,354095.039699,_dsi_uv_debounce_measure_seq,"condition for parameter t__DSI,OVUV,deb__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,355104.719699,dsi_mon_to_debounce_measure_seq,dsi_mon_to_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,355104.720699,sim:description:1,"*measuring debounce time for parameter: t__DSImon,TO__",-1
debounce_times.log,UVM,UVM_ERROR,470867.134699,_dsi_mon_to_debounce_measure_seq,"condition for parameter t__DSImon,TO__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,472397.43861,dsi_mon_to_debounce_measure_seq,dsi_mon_to_debounce_measure_seq sequence starting,-1
debounce_times.log,UVM,UVM_INFO,472397.43961,sim:description:1,"*measuring debounce time for parameter: t__DSImon,TO__",-1
debounce_times.log,UVM,UVM_ERROR,581159.85361,_dsi_mon_to_debounce_measure_seq,"condition for parameter t__DSImon,TO__ did not occur after expected end time",-1
debounce_times.log,UVM,UVM_INFO,582790.14638,sim:status,PASS,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,sim:end,debounce_times sequence completed,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,real_signal_coverage,Coverage score = 0.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 37.5%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,digital_signal_coverage,Coverage score = 75.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,dsi3_master_coverage,Coverage score = 25.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,dsi3_master_coverage,Coverage score = 25.0%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,dsi3_slave_coverage,Coverage score = 18.5%,-1
debounce_times.log,UVM,UVM_INFO,582790.14638,dsi3_slave_coverage,Coverage score = 18.5%,-1
