file,type,severity,time_us,module,message
applicative_pattern.log,Config,,0.0,CONFIG,UVM_VERBOSITY=UVM_MEDIUM
applicative_pattern.log,Config,,0.0,CONFIG,uvm_set_type_override=top_default_seq
applicative_pattern.log,UVM,UVM_INFO,0.0,UVM_VERDI_DPI,uvm_verdi DPI routines are compiled off. Recompile without +define+UVM_NO_VERDI_DPI
applicative_pattern.log,UVM,UVM_INFO,0.0,applicative_pattern_seq,applicative_pattern_seq sequence starting
applicative_pattern.log,UVM,UVM_INFO,0.001,sim:task,applicative_pattern
applicative_pattern.log,UVM,UVM_INFO,2240.013,applicative_pattern_seq,Starting pattern
applicative_pattern.log,UVM,UVM_INFO,2241.013,applicative_pattern_seq,reset SPI
applicative_pattern.log,UVM,UVM_INFO,2256.453,applicative_pattern_seq,check RESB debouncer
applicative_pattern.log,UVM,UVM_INFO,2256.453,applicative_pattern_seq,write ECC_IRQ_MASK register
applicative_pattern.log,UVM,UVM_INFO,2272.893,applicative_pattern_seq,read ECC_IRQ_MASK register again
applicative_pattern.log,UVM,UVM_INFO,2288.333,applicative_pattern_seq,apply short pulse at RESB
applicative_pattern.log,UVM,UVM_INFO,2293.833,applicative_pattern_seq,read ECC_IRQ_MASK after short RESB pulse
applicative_pattern.log,UVM,UVM_INFO,2309.273,applicative_pattern_seq,set RESB => 0
applicative_pattern.log,UVM,UVM_INFO,2319.273,applicative_pattern_seq,set RESB => 1
applicative_pattern.log,UVM,UVM_INFO,2329.273,applicative_pattern_seq,read ECC_IRQ_MASK after RESB pulse
applicative_pattern.log,UVM,UVM_INFO,2744.713,applicative_pattern_seq,enable CLKREF input
applicative_pattern.log,UVM,UVM_INFO,3144.713,applicative_pattern_seq,make SPI buffer full and thus set BFWB pin
applicative_pattern.log,UVM,UVM_INFO,3938.973,applicative_pattern_seq,set bit time to BITTIME_16US
applicative_pattern.log,UVM,UVM_INFO,3955.413,applicative_pattern_seq,set CRM_TIME to   
applicative_pattern.log,UVM,UVM_INFO,3971.853,applicative_pattern_seq,read CRM_TIME
applicative_pattern.log,UVM,UVM_INFO,4444.713,applicative_pattern_seq,read interrupt registers
applicative_pattern.log,UVM,UVM_INFO,4494.033,applicative_pattern_seq,Clear interrupts
applicative_pattern.log,UVM,UVM_INFO,4566.513,applicative_pattern_seq,Do SPI communication with CSB high
applicative_pattern.log,UVM,UVM_INFO,4592.913,applicative_pattern_seq,start CRM via SPI
applicative_pattern.log,UVM,UVM_INFO,4771.015165,applicative_pattern_seq,DSI channel 1 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,5381.015165,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 0)
applicative_pattern.log,UVM,UVM_INFO,5454.516165,m_master_transmission_checker_0,ignored unexpected slave response
applicative_pattern.log,UVM,UVM_INFO,5669.015192,applicative_pattern_seq,DSI channel 0 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,6279.015192,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 0)
applicative_pattern.log,UVM,UVM_INFO,6352.516192,m_master_transmission_checker_1,ignored unexpected slave response
applicative_pattern.log,UVM,UVM_INFO,6429.015192,sim:description:2,**uploading TDMA scheme with 3 packets at channels 11
applicative_pattern.log,UVM,UVM_INFO,6429.015192,applicative_pattern_seq,upload TDMA scheme
applicative_pattern.log,UVM,UVM_INFO,6429.015192,upload_tdma_scheme_seq,upload_tdma_scheme_seq sequence starting
applicative_pattern.log,UVM,UVM_INFO,6530.876192,upload_tdma_scheme_seq,uploaded TDMA scheme:
applicative_pattern.log,UVM,UVM_INFO,6531.876192,applicative_pattern_seq,set shift value to 40
applicative_pattern.log,UVM,UVM_INFO,6547.336192,applicative_pattern_seq,start PDCM via SPI
applicative_pattern.log,UVM,UVM_INFO,6566.766192,dsi3_master_transmission_checker,start PDCM at channel 0 with 2 pulses and a PDCM period of 600
applicative_pattern.log,UVM,UVM_INFO,6766.766192,dsi3_master_transmission_checker,start PDCM at channel 1 with 2 pulses and a PDCM period of 600
applicative_pattern.log,UVM,UVM_INFO,6767.196192,applicative_pattern_seq,set SYNCB pin
applicative_pattern.log,UVM,UVM_INFO,6775.681856,applicative_pattern_seq,DSI channel 0 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,6808.10184,sim:measure,"'t__DSI,BIT,16__' = '16.000000' condition = 'at channel 0'"
applicative_pattern.log,UVM,UVM_INFO,6837.681856,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 0)
applicative_pattern.log,UVM,UVM_INFO,7020.681856,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 1)
applicative_pattern.log,UVM,UVM_INFO,7175.681856,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 2)
applicative_pattern.log,UVM,UVM_INFO,7375.681832,applicative_pattern_seq,DSI channel 0 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,7381.237381,applicative_pattern_seq,DSI channel 1 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,7408.101821,sim:measure,"'t__DSI,BIT,16__' = '16.000000' condition = 'at channel 0'"
applicative_pattern.log,UVM,UVM_INFO,7408.101821,dsi3_master_transmission_checker,measured PDCM period at channel 0: 600.000000 us - 0 pulses left
applicative_pattern.log,UVM,UVM_ERROR,7408.101821,m_master_transmission_checker_0,"expected PDCM period of channel 0 differ by 0.000000us, expected maximum difference is 0.001000us."
applicative_pattern.log,UVM,UVM_INFO,7413.657416,sim:measure,"'t__DSI,BIT,16__' = '16.000000' condition = 'at channel 1'"
applicative_pattern.log,UVM,UVM_INFO,7437.681832,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 0)
applicative_pattern.log,UVM,UVM_INFO,7620.681832,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 1)
applicative_pattern.log,UVM,UVM_INFO,7775.681832,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 2)
applicative_pattern.log,UVM,UVM_INFO,7981.237408,applicative_pattern_seq,DSI channel 1 command (start of transmission)
applicative_pattern.log,UVM,UVM_INFO,8013.657392,sim:measure,"'t__DSI,BIT,16__' = '16.000000' condition = 'at channel 1'"
applicative_pattern.log,UVM,UVM_INFO,8013.657392,dsi3_master_transmission_checker,measured PDCM period at channel 1: 600.000000 us - 0 pulses left
applicative_pattern.log,UVM,UVM_ERROR,8013.657392,m_master_transmission_checker_1,"expected PDCM period of channel 1 differ by 0.000000us, expected maximum difference is 0.001000us."
applicative_pattern.log,UVM,UVM_INFO,8043.237408,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 0)
applicative_pattern.log,UVM,UVM_INFO,8161.738408,m_master_transmission_checker_0,ignored unexpected slave response
applicative_pattern.log,UVM,UVM_INFO,8226.237408,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 1)
applicative_pattern.log,UVM,UVM_INFO,8353.738408,m_master_transmission_checker_0,ignored unexpected slave response
applicative_pattern.log,UVM,UVM_INFO,8381.237408,applicative_pattern_seq,DSI channel 0 response (start of transmission of packet 2)
applicative_pattern.log,UVM,UVM_INFO,8526.738408,m_master_transmission_checker_0,ignored unexpected slave response
applicative_pattern.log,UVM,UVM_INFO,8611.237408,applicative_pattern_seq,read CRM response of DSI0 via SPI
applicative_pattern.log,UVM,UVM_INFO,8632.097408,applicative_pattern_seq,read CRM response of DSI1 via SPI
applicative_pattern.log,UVM,UVM_INFO,8652.957408,applicative_pattern_seq,read PDCM responses of DSI0 via SPI
applicative_pattern.log,UVM,UVM_INFO,8768.387408,dsi3_master_transmission_checker,read PDCM frame: channels 0b01
applicative_pattern.log,UVM,UVM_INFO,8768.387408,dsi3_master_transmission_checker,read PDCM frame: channels 0b01
applicative_pattern.log,UVM,UVM_INFO,8769.817408,applicative_pattern_seq,read PDCM responses of DSI1 via SPI
applicative_pattern.log,UVM,UVM_INFO,8885.247408,dsi3_master_transmission_checker,read PDCM frame: channels 0b10
applicative_pattern.log,UVM,UVM_INFO,8885.247408,dsi3_master_transmission_checker,read PDCM frame: channels 0b10
